OTU	k	p	c	o	f	g	s	OTU_lowest	Gut1	Gut2	Gut3	Gut4	Gut5	Gut6	percReads
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		g__Enterococcus	28	65	491	0	105	89	0.622753724
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__asini	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	asini	Enterococcus asini	0	0	1	0	0	0	0.000800455
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae			f__Lactobacillaceae	97	0	70	18	15	66	0.212920939
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		g__Lactobacillus	0	0	0	208	84	0	0.23373276
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__manihotivorans	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	manihotivorans	Lactobacillus manihotivorans	12	0	0	0	0	0	0.009605456
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__paralimentarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	paralimentarius	Lactobacillus paralimentarius	0	0	0	0	0	30	0.02401364
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	Lactobacillus zeae	0	0	0	0	0	60	0.048027279
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;__;__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae			f__Leuconostocaceae (1)	0	0	0	68	221	0	0.231331396
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae			f__Leuconostocaceae (2)	34	0	70	0	0	0	0.083247284
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc		g__Leuconostoc	86	69	135	82	115	83	0.456259155
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__viridescens	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	viridescens	Weissella viridescens	523	0	0	0	0	0	0.418637786
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae			f__Streptococcaceae	0	105	0	0	0	0	0.084047739
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		g__Lactococcus	69	78	77	20	95	30	0.295367769
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		g__Streptococcus (1)	0	0	0	0	24	0	0.019210912
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		g__Streptococcus (2)	0	0	0	0	0	18	0.014408184
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__agalactiae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	agalactiae	Streptococcus agalactiae	1	0	0	0	0	0	0.000800455
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__	Bacteria	Firmicutes	Clostridia	Clostridiales				o__Clostridiales (1)	0	0	0	0	0	14	0.011206365
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__	Bacteria	Firmicutes	Clostridia	Clostridiales				o__Clostridiales (2)	0	0	0	0	0	85	0.068038646
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Alkaliphilus;s__transvaalensis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	transvaalensis	Alkaliphilus transvaalensis	0	0	0	0	0	49	0.039222278
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		g__Clostridium	0	0	0	0	123	0	0.098455923
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			f__Ruminococcaceae	0	0	0	0	0	18	0.014408184
